pkts_toserver,pkts_toclient,sig_len,proto,severity,label
5,5,49,1,3,0
4,4,51,1,3,0
4,4,52,1,3,0
5,4,51,1,3,0
5,4,52,1,3,0
4,4,32,1,3,0
4,4,52,1,3,0
5,5,32,1,3,0
5,4,32,1,3,0
5,4,52,1,3,0
6,5,32,1,3,0
5,4,42,1,3,0
5,4,31,1,3,0
5,5,49,1,3,0
5,3,41,1,3,0
5,3,52,1,3,0
4,3,42,1,3,0
4,3,31,1,3,0
4,4,52,1,3,0
5,5,45,1,3,0
1,0,59,2,1,1
1,0,15,1,3,0
1,0,35,1,3,0
1,0,37,1,3,0
1,0,34,1,3,0
1,0,22,1,3,0
1,0,34,1,3,0
1,0,37,1,3,0
1,0,35,1,3,0
1,0,22,1,3,0
1,0,35,1,3,0
1,0,35,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,37,1,3,0
1,0,37,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,41,1,3,0
1,0,59,2,1,1
1,0,15,1,3,0
4,4,52,1,3,0
5,5,49,1,3,0
4,4,51,1,3,0
4,4,52,1,3,0
5,4,51,1,3,0
5,4,52,1,3,0
4,4,32,1,3,0
4,4,52,1,3,0
5,5,32,1,3,0
5,4,32,1,3,0
5,4,52,1,3,0
6,5,32,1,3,0
5,4,42,1,3,0
5,4,31,1,3,0
6,5,49,1,3,0
5,4,41,1,3,0
5,4,52,1,3,0
4,3,42,1,3,0
4,3,31,1,3,0
4,4,52,1,3,0
5,5,45,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
4,3,44,1,3,0
4,3,43,1,3,0
4,3,25,1,3,0
4,3,29,1,3,0
1,0,15,1,3,0
7,5,23,1,2,1
